NUTS2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
FRI3,56.7,55.7,54.2,53.7,58.5,63.5,57.5,49.9,54.6,65.5,58.7,62.8,65.1,78.3,85.0,75.4,69.0,69.9,67.2,63.8,67.6,64.7
FRJ1,147.9,114.8,125.7,122.7,107.6,116.0,111.4,106.0,97.7,140.1,148.0,130.7,163.6,141.4,138.7,146.7,136.0,142.6,134.3,117.7,106.9,135.2
FRJ2,116.9,100.3,92.8,122.6,73.6,82.8,101.2,101.1,79.6,115.4,104.5,108.1,110.9,117.3,122.7,114.6,115.4,96.9,106.1,92.0,74.9,84.8
FRK1,55.5,39.8,36.0,,45.0,42.9,44.0,48.5,37.2,44.2,42.0,49.8,60.3,52.7,41.8,50.1,43.1,48.4,46.6,33.1,32.6,41.7
FRK2,201.8,182.9,175.3,192.8,222.6,214.5,203.0,174.7,174.7,234.1,231.3,221.5,235.2,246.9,259.0,273.2,244.5,221.2,225.4,216.5,230.5,225.8
FRL0,253.4,219.2,205.0,196.3,197.2,200.6,219.4,183.8,162.0,192.0,203.9,209.1,206.6,238.2,223.0,234.0,226.6,220.3,198.3,186.1,171.8,175.8
FRM0,15.9,,,,,8.6,10.2,9.7,7.8,,6.8,,6.5,8.7,7.1,14.2,9.0,13.3,6.6,8.7,11.7,12.7
FRY1,,41.8,45.3,40.9,39.4,40.8,43.9,38.0,36.9,38.2,39.5,37.6,37.5,44.8,38.6,37.7,37.3,35.4,34.2,30.8,25.3,25.0
FRY2,,37.7,35.8,32.7,33.7,28.4,38.5,34.5,36.4,36.1,34.8,35.2,34.9,38.3,30.6,28.5,27.5,27.3,26.5,22.6,17.9,18.0
FRY3,,16.7,14.8,13.3,14.2,14.0,17.3,12.7,13.9,14.4,15.8,15.3,16.8,16.0,18.2,18.2,19.5,18.2,16.0,16.1,12.8,11.2
FRY4,,86.1,83.6,92.0,97.4,90.9,88.2,75.8,78.0,88.2,98.5,102.3,98.6,102.1,92.5,83.1,77.2,78.5,82.2,70.6,57.2,59.2
FRY5,,,,,,,,,,,,,,9.7,11.0,15.3,19.6,20.6,25.6,22.4,19.0,
HR02,,,,,,,,,,,,,,,,,81.7,73.7,55.2,39.6,48.9,40.3
HR03,,,,,,,,55.2,52.7,58.4,67.1,78.5,87.2,86.0,106.5,103.6,84.1,65.2,54.5,35.0,40.2,51.3
HR05,,,,,,,,,,,,,,,,,35.0,30.6,20.9,20.1,17.9,20.4
HR06,,,,,,,,,,,,,,,,,39.0,35.7,21.8,16.7,17.7,16.1
ITC1,124.5,97.9,104.8,93.2,101.8,89.6,77.9,80.5,99.6,133.4,147.6,150.1,183.8,208.4,225.8,204.8,186.7,182.4,161.4,148.8,143.1,139.1
ITC2,,,,,,1.8,1.7,1.9,1.9,2.7,2.6,3.1,4.2,4.9,5.4,5.3,5.2,4.6,4.2,3.8,3.3,4.1
ITC3,60.0,39.2,40.0,46.0,34.8,37.6,31.4,32.1,36.0,38.7,44.1,43.2,54.4,65.7,72.9,61.9,65.8,63.0,65.0,63.3,52.7,53.9
ITC4,177.6,163.2,158.0,142.9,161.8,178.3,162.1,149.1,164.1,235.6,245.2,251.2,334.3,368.4,378.0,363.7,345.7,301.4,281.4,264.1,232.0,269.9
ITF1,36.5,21.2,28.6,28.3,40.4,41.5,34.6,32.7,36.2,42.2,46.1,46.8,60.8,61.6,68.3,69.1,66.9,65.1,59.6,61.6,50.6,49.8
ITF2,16.8,17.0,16.2,15.9,14.3,11.7,11.9,9.8,11.4,10.8,9.8,11.6,14.3,18.2,18.0,17.1,15.6,17.9,15.5,14.8,11.4,12.3
ITF3,474.1,462.1,437.1,439.7,320.4,300.7,253.8,215.2,239.7,238.4,255.4,284.4,378.0,431.6,433.7,389.2,418.5,442.8,419.5,407.7,352.6,381.1
ITF4,253.1,206.8,198.6,198.0,223.0,206.9,180.2,159.0,167.8,178.4,190.2,187.2,231.0,284.8,312.6,286.7,287.6,278.2,229.9,211.9,196.7,205.5
ITF5,37.7,33.5,33.6,37.6,25.3,27.0,23.1,20.1,24.0,23.8,27.0,25.0,30.9,32.1,31.5,30.0,29.5,27.7,26.3,22.7,17.7,17.0
ITF6,200.5,186.0,193.7,192.9,102.4,99.0,88.4,74.2,79.8,73.2,75.6,81.7,132.7,148.4,159.8,153.3,157.7,147.8,148.4,142.5,128.4,113.9
ITG1,421.7,372.9,372.3,369.3,300.8,280.6,231.2,219.3,234.5,233.6,246.7,239.1,316.3,354.4,376.5,368.4,383.0,374.0,362.7,334.3,290.5,301.6
ITG2,129.7,124.8,126.0,113.5,92.8,86.8,72.1,65.9,83.5,88.7,95.3,92.3,107.0,115.7,125.5,118.7,117.2,115.2,104.2,100.8,83.3,87.7
ITH1,5.0,4.8,,4.2,7.3,6.3,6.0,6.0,5.6,6.9,6.6,8.2,10.4,11.1,11.3,9.7,9.7,8.0,7.6,7.7,9.7,9.9
ITH2,7.7,8.0,7.9,7.0,6.7,8.0,6.9,6.7,7.6,8.3,10.1,10.5,14.8,15.9,17.3,17.0,17.0,14.3,12.0,12.7,13.3,11.9
ITH3,82.7,75.4,77.8,63.6,91.0,91.2,88.6,73.2,76.3,103.0,125.1,108.3,144.3,167.8,167.1,156.6,151.1,143.6,146.0,127.7,129.0,115.6
ITH4,20.6,19.6,21.3,21.0,22.6,21.9,18.6,18.3,23.1,27.8,30.4,27.5,36.2,41.3,43.0,43.1,40.6,36.4,36.1,32.7,30.1,30.8
ITH5,,,,,,75.1,66.4,56.4,64.1,95.4,113.5,106.8,144.7,173.8,173.3,160.9,146.8,137.8,123.0,118.2,121.7,113.7
ITI1,100.1,76.2,76.2,73.1,84.4,84.8,77.7,69.8,82.7,95.0,98.8,104.0,130.0,145.8,172.5,157.4,164.0,148.3,123.8,113.7,112.2,125.6
ITI2,22.9,16.9,19.0,18.3,18.1,21.7,18.6,17.4,18.4,25.1,25.2,24.4,36.9,40.2,44.5,41.8,37.5,41.8,35.3,33.0,31.2,25.0
ITI3,,,,,,32.2,30.7,27.8,31.9,45.8,38.6,46.0,63.3,75.7,70.2,69.0,73.5,72.7,55.5,59.5,49.5,47.1
