NUTS2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
EL64,7840.53,8283.74,8520.42,9151.36,9384.92,9738.16,10115.6,10562.47,10879.47,10404.88,10025.42,9231.88,8660.32,8167.33,7935.06,8026.88,8136.45,8312.82,8434.24,8567.96,8284.54,9279.9
EL65,6468.56,6910.98,7303.87,7781.21,8128.5,8363.84,9123.66,9789.69,10102.45,9912.12,9514.69,8796.88,8343.29,8008.58,7812.44,7972.27,7934.11,8060.16,8055.71,8225.72,7499,8173
ES11,33464.55,36054.44,38484.5,41192.18,44312.2,48048.41,52068.61,56108.92,58358.35,56303.41,56767.16,55767.74,53968.72,53967.66,54240.53,56697.87,58271.7,60397.89,62425.14,64219.58,58663.62,63836.11
ES12,14304.71,15409.13,16299.5,17208.51,18298.82,19842.57,21562.03,23106.09,23844.42,22542.28,22733.64,22375.9,21363.73,20768.58,20679.63,21389.58,21692.92,22595.57,23225.85,23711.32,21319.67,23549.34
ES13,7967.96,8618.76,9196.3,9688.26,10313.8,11138.4,11939.5,12819.82,13260.65,12788.61,12836.86,12623.14,12166.53,11879.01,12075.29,12336.2,12735.84,13228.83,13743.45,14180.48,12852.74,14021.73
ES21,40790.15,43595.03,46029.79,48585.68,51725.28,55666.38,60233.39,64281.11,66779.58,63926,64680.67,64130.35,62554.87,61675.45,62737.26,65027.72,67114.16,69660.94,71921.91,74074.58,66496.03,72226.38
ES22,11177.58,11919.07,12717.73,13529.39,14431.56,15517.78,16660.7,17765.98,18517.81,17897.02,17973.57,17941.74,17281.04,17248.42,17518.34,18154.11,18743.96,19528.85,20063.21,20873.24,18937.18,20518.63
ES23,4901.33,5242.77,5543.23,5998.12,6362.3,6851.49,7410.72,7945.8,8247.62,7892.57,7977.73,7907.91,7635.88,7545.84,7692.96,7966.44,8013.76,8295.6,8602.78,8821.87,8105.29,8620.17
ES24,20071.69,21577.6,23368.68,24975.65,26638.53,28663.72,31098.41,33854.01,35141.09,33564.78,33828.88,33367.97,31961.33,32111.41,32322.29,32896.55,34210.57,35640.17,36867.64,38049.47,35521.47,38159.09
ES30,114455.28,124576.03,133609.15,143012.57,153557.55,165760.29,180859.02,193748.9,201235,198373.99,197145.37,198464.97,195087.39,192125.74,194444.33,204157.47,212361.42,222565.75,231423.11,242093.62,219030.22,237540.42
ES41,35717.23,38031.99,40358.21,42842.16,45544.76,48617.7,51856.05,55466.38,56638.51,54795.54,54970.02,54575.1,52865.14,51551.59,51596.42,53272.98,54764.02,56059.25,58545.33,59798.17,54836.73,59263.52
