NUTS2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ES51,6283101,6314849,6380492,6556900,6712748,6870811,7010859,7151682,7311146,7427092,7463488,7493263,7514991,7488664,7432833,7420890,7440692,7480778,7539364,7624625,7720323,7749896
ES52,4103816,4135183,4192277,4322066,4441941,4567163,4681033,4801628,4928095,4981284,4989631,4999192,5009650,4988365,4960213,4945092,4939888,4943821,4958584,4989308,5046482,5067911
ES53,817313,830428,845128,883409,912965,940121,970294,1005181,1042857,1070167,1083679,1091664,1100715,1105131,1106617,1111002,1117353,1128492,1141233,1157928,1176816,1183415
ES61,7285992,7323031,7391401,7490871,7596534,7730696,7865788,7986600,8118570,8212968,8276008,8332080,8377810,8387986,8381239,8388994,8392046,8394017,8396464,8412222,8461039,8484804
ES62,1169114,1184118,1206614,1242626,1276816,1313496,1351106,1385717,1419563,1441787,1453543,1459075,1461925,1462271,1462734,1465195,1468367,1475275,1478718,1491312,1509077,1518279
ES63,70855,71183,70868,71109,71538,71977,72807,74161,75250,76927,79294,81621,83845,84487,84562,84561,84558,85005,85327,85087,84502,84071
ES64,64851,65725,65897,65387,64747,64910,67111,68967,71244,73365,76049,78866,81792,83669,84103,85009,85457,85918,86084,86373,86558,86450
ES70,1659062,1677983,1703850,1755698,1804242,1853158,1899618,1946077,1991954,2025490,2045163,2064871,2085938,2096336,2098155,2101319,2103436,2115233,2131581,2153316,2176240,2178924
FR10,11019991,11102824,11185563,11270074,11350290,11442143,11532398,11598866,11659260,11728240,11786234,11852851,11898502,11959807,12027565,12082144,12117132,12174880,12213447,12262544,12271794,12317279
FRB0,2450121,2461778,2472978,2484288,2494279,2507246,2519567,2526919,2531588,2538590,2548065,2556835,2563586,2570548,2577435,2578592,2577866,2576252,2572853,2573180,2574863,2573303
FRC1,1612818,1615651,1618437,1620757,1622456,1626190,1628837,1633891,1638588,1642440,1642115,1642734,1641130,1642687,1642551,1641205,1637941,1632887,1628737,1625776,1622967,1620593
FRC2,1121512,1126695,1131455,1135982,1140478,1145744,1150624,1158671,1163931,1168208,1171763,1173440,1175684,1177096,1178072,1179735,1180397,1178536,1179070,1179804,1178728,1179601
FRD1,1426928,1432400,1437801,1442916,1447429,1452425,1456793,1461429,1467425,1470880,1473494,1475684,1477209,1478712,1479378,1479484,1477349,1474257,1471632,1469892,1471115,1473114
FRD2,1784575,1789406,1794099,1797924,1801791,1806677,1811055,1816716,1825667,1832942,1836954,1839393,1845547,1849652,1856267,1859647,1858580,1856221,1855845,1855140,1854407,1854852
FRE1,3997864,4001142,4005577,4008628,4010548,4015613,4018644,4021676,4024490,4033197,4038157,4042015,4050756,4060741,4076061,4077886,4074448,4072379,4072977,4073624,4069913,4072734
FRE2,1862938,1868759,1874316,1879079,1883409,1889028,1894355,1900354,1906601,1911157,1914844,1918155,1922342,1927142,1930095,1932090,1932422,1931436,1931131,1931323,1927821,1922558
FRF1,1743955,1756078,1768054,1779575,1791145,1803402,1815493,1827248,1837087,1843053,1845687,1852325,1859869,1868183,1872949,1879265,1884150,1889589,1898533,1907143,1915915,1919745
FRF2,1342007,1341878,1341635,1340851,1339597,1339400,1338850,1339487,1338004,1337953,1335923,1336053,1339270,1339008,1339299,1338255,1333248,1328134,1323396,1320191,1319593,1316522
FRF3,2314909,2318791,2323026,2326019,2328136,2332468,2335749,2339881,2346361,2350112,2350920,2350657,2349816,2345197,2342397,2341531,2337788,2331863,2328460,2328885,2327143,2325020
FRG0,3248994,3281679,3314649,3347675,3379784,3415391,3450413,3482594,3510170,3539048,3571495,3601113,3632614,3660852,3690833,3718512,3737632,3757600,3781423,3806461,3832120,3853999
FRH0,2927612,2954324,2981765,3009249,3037077,3066585,3094534,3120288,3149701,3175064,3199066,3217767,3237097,3258707,3276543,3293850,3306529,3318904,3335414,3354854,3373835,3394567
FRI1,2933223,2962914,2993132,3023922,3054587,3088196,3119778,3150890,3177625,3206137,3232352,3254233,3285970,3316889,3343326,3370578,3393297,3414585,3437398,3464554,3485404,3515932
FRI2,713249,715796,718716,721351,723906,727487,730920,737001,740743,741785,742771,741072,738633,737509,738120,738031,736015,734528,731285,729049,727308,727177
FRI3,1650378,1662133,1674460,1686472,1698020,1711307,1724123,1739780,1752708,1760575,1770363,1777773,1783991,1789779,1797698,1802873,1806291,1807865,1811095,1816686,1821240,1826243
FRJ1,2322072,2353629,2388723,2424518,2459969,2497718,2534144,2560870,2581718,2610890,2636350,2670046,2700266,2729721,2751592,2772683,2793303,2810383,2830361,2854713,2875045,2898280
FRJ2,2578254,2609222,2641980,2674559,2707583,2743073,2776822,2810247,2838228,2862707,2881756,2903420,2926592,2954157,2979161,3001502,3015132,3034719,3055135,3078472,3098924,3123896
FRK1,1312227,1315944,1319800,1323406,1327104,1331779,1335938,1339247,1341863,1343964,1347387,1350682,1354104,1357668,1360461,1362367,1363392,1364156,1368536,1370389,1369348,1368667
FRK2,5688524,5741877,5796144,5850513,5904729,5963736,6021346,6065959,6117229,6174040,6230691,6283541,6341160,6399927,6460505,6515331,6553497,6584131,6625923,6672547,6709304,6745694
FRL0,4541508,4584379,4629496,4675056,4719132,4768564,4815232,4864015,4882913,4889053,4899155,4916069,4935576,4953675,4983438,5007977,5021928,5030890,5052832,5081101,5098666,5127840
FRM0,264539,269273,274093,279027,283972,289092,294118,299209,302966,305674,309693,314486,316257,320208,324212,327283,330455,334938,338554,340440,343701,347597
FRY1,479446,476287,473128,469969,466810,463652,460493,457334,454175,451016,447857,444698,441539,437713,435293,433674,429856,425587,421694,416728,415360,415792
FRY2,383575,386542,389302,391676,393852,395982,397732,397730,397693,396404,394173,392291,388364,385551,383911,380877,376480,372594,368783,364508,361225,360749
FRY3,162018,168614,176638,184792,193167,199206,205954,213031,219266,224469,229040,237549,239648,244118,252338,259865,269352,268700,276128,281678,285133,286618
FRY4,716314,729010,740207,750840,761630,772907,781962,794107,808250,816364,821136,828581,833944,835103,842767,850727,852924,853659,855961,861210,863083,871157
FRY5,102741,111378,120015,128652,137289,145926,154563,163200,171837,180474,189111,197748,206385,215022,223713,232189,240987,250143,259621,269579,279696,289039
HR02,1421891,1405298,1388705,1372112,1355519,1338926,1322333,1305740,1289147,1272554,1255961,1239368,1222775,1205694,1190565,1172508,1149380,1123545,1090451,1066800,1046438,1030173
